127.0.0.1 - - [24/Aug/2022:12:27:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:27:18 +0900] "GET /Shoppingmall/join_p.jsp HTTP/1.1" 500 2718
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:27:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:29:03 +0900] "GET /Shoppingmall/join_p.jsp HTTP/1.1" 500 2719
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:30:54 +0900] "GET /Shoppingmall/join_p.jsp HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:30:56 +0900] "GET /Shoppingmall/join_p.jsp HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:30:56 +0900] "GET /Shoppingmall/join_p.jsp HTTP/1.1" 500 2720
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:11 +0900] "GET /Shoppingmall/index.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:11 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:11 +0900] "GET /Shoppingmall/css/style.css?abc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:11 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:11 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:11 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:13 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:13 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:13 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [24/Aug/2022:12:31:13 +0900] "GET /css/style.css HTTP/1.1" 404 824
