127.0.0.1 - - [25/Aug/2022:10:40:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:24 +0900] "GET /Shoppingmall/member_list.jsp HTTP/1.1" 200 3427
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:24 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:24 +0900] "GET /Shoppingmall/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:24 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:29 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3376
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:29 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:29 +0900] "GET /Shoppingmall/css/style.css?abc HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:29 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:29 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:32 +0900] "GET /Shoppingmall/index.jsp HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:32 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:32 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:32 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:40:32 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:02 +0900] "GET /Shoppingmall/index.jsp HTTP/1.1" 200 1951
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:02 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:02 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:02 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:02 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:06 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:06 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:06 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:06 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:07 +0900] "GET /Shoppingmall/member_list HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:27 +0900] "GET /Shoppingmall/index.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:27 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:27 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:27 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:27 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:28 +0900] "GET /Shoppingmall/member_list.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:28 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:28 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:30 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:30 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:30 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:30 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:56 +0900] "GET /Shoppingmall/member_list.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:56 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:56 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:58 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:58 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:58 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:41:58 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:07 +0900] "GET /Shoppingmall/member_list.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:08 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:08 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:15 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:42:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:08 +0900] "POST /Shoppingmall/join_p.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:08 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:08 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:08 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:08 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:10 +0900] "GET /Shoppingmall/member_list.jsp HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:10 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:10 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:15 +0900] "GET /Shoppingmall/index.jsp HTTP/1.1" 200 1955
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:15 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:16 +0900] "GET /Shoppingmall/join.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:16 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:16 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:16 +0900] "GET /css/style.css HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [25/Aug/2022:10:43:17 +0900] "GET /Shoppingmall/member_list.jsp HTTP/1.1" 200 3762
